pNo,condition,study,sessionOrder,congruency,rtOverall,accOverall,rt,acc,rtCorrect,session
143,deplete,1,control-deplete,congruent,0.603325581395349,0.988372093023256,0.586872881355932,0.991525423728813,0.588598290598291,2
143,deplete,1,control-deplete,incongruent,0.603325581395349,0.988372093023256,0.639277777777778,0.981481481481481,0.63522641509434,2
144,control,1,deplete-control,congruent,0.643765714285714,0.971428571428571,0.631118644067797,0.974576271186441,0.632191304347826,2
144,control,1,deplete-control,incongruent,0.643765714285714,0.971428571428571,0.669947368421053,0.964912280701754,0.669781818181818,2
144,deplete,1,deplete-control,congruent,0.63146783625731,0.964912280701754,0.602172413793103,0.982758620689655,0.604166666666667,1
144,deplete,1,deplete-control,incongruent,0.63146783625731,0.964912280701754,0.693254545454546,0.927272727272727,0.693470588235294,1
145,control,1,control-deplete,congruent,0.668670731707317,0.908536585365854,0.636318965517241,0.982758620689655,0.636263157894737,1
145,control,1,control-deplete,incongruent,0.668670731707317,0.908536585365854,0.746854166666667,0.729166666666667,0.798114285714286,1
145,deplete,1,control-deplete,congruent,0.650076470588235,0.905882352941176,0.617529914529915,0.991452991452991,0.618422413793104,2
145,deplete,1,control-deplete,incongruent,0.650076470588235,0.905882352941176,0.721924528301887,0.716981132075472,0.74,2
147,control,1,control-deplete,congruent,0.578255952380952,0.970238095238095,0.557310344827586,1,0.557310344827586,1
147,control,1,control-deplete,incongruent,0.578255952380952,0.970238095238095,0.624980769230769,0.903846153846154,0.627957446808511,1
147,deplete,1,control-deplete,congruent,0.55205,0.99375,0.543956140350877,1,0.543956140350877,2
147,deplete,1,control-deplete,incongruent,0.55205,0.99375,0.572108695652174,0.978260869565217,0.573333333333333,2
148,control,1,deplete-control,congruent,0.673719512195122,0.926829268292683,0.64075,0.973214285714286,0.638256880733945,2
148,control,1,deplete-control,incongruent,0.673719512195122,0.926829268292683,0.744730769230769,0.826923076923077,0.752069767441861,2
148,deplete,1,deplete-control,congruent,0.768394285714286,0.965714285714286,0.753016949152542,0.991525423728813,0.756,1
148,deplete,1,deplete-control,incongruent,0.768394285714286,0.965714285714286,0.800228070175439,0.912280701754386,0.816903846153846,1
15,control,1,control-deplete,congruent,0.915877906976744,0.947674418604651,0.833482456140351,0.982456140350877,0.821142857142857,1
15,control,1,control-deplete,incongruent,0.915877906976744,0.947674418604651,1.0778275862069,0.879310344827586,1.11270588235294,1
15,deplete,1,control-deplete,congruent,0.875754385964912,0.947368421052632,0.787896551724138,0.982758620689655,0.781377192982456,2
15,deplete,1,control-deplete,incongruent,0.875754385964912,0.947368421052632,1.06105454545455,0.872727272727273,1.05354166666667,2
150,control,1,deplete-control,congruent,0.743615853658537,0.957317073170732,0.694140350877193,1,0.694140350877193,2
150,control,1,deplete-control,incongruent,0.743615853658537,0.957317073170732,0.85642,0.86,0.864511627906977,2
150,deplete,1,deplete-control,congruent,0.795025806451613,0.941935483870968,0.769381818181818,1,0.769381818181818,1
150,deplete,1,deplete-control,incongruent,0.795025806451613,0.941935483870968,0.857711111111111,0.8,0.873111111111111,1
151,control,1,control-deplete,congruent,0.561114285714286,0.845714285714286,0.533066666666667,0.95,0.535622807017544,1
151,control,1,control-deplete,incongruent,0.561114285714286,0.845714285714286,0.622309090909091,0.618181818181818,0.579617647058824,1
151,deplete,1,control-deplete,congruent,0.640389221556886,0.850299401197605,0.614862068965517,0.948275862068965,0.619181818181818,2
151,deplete,1,control-deplete,incongruent,0.640389221556886,0.850299401197605,0.698450980392157,0.627450980392157,0.701375,2
152,control,1,deplete-control,congruent,0.532944099378882,0.91304347826087,0.531017391304348,0.939130434782609,0.534555555555556,2
152,control,1,deplete-control,incongruent,0.532944099378882,0.91304347826087,0.537760869565217,0.847826086956522,0.532,2
152,deplete,1,deplete-control,congruent,0.600589285714286,0.928571428571429,0.581591304347826,0.965217391304348,0.583684684684685,1
152,deplete,1,deplete-control,incongruent,0.600589285714286,0.928571428571429,0.641811320754717,0.849056603773585,0.625933333333333,1
153,control,1,control-deplete,congruent,0.643198795180723,0.969879518072289,0.620182608695652,0.973913043478261,0.618267857142857,1
153,control,1,control-deplete,incongruent,0.643198795180723,0.969879518072289,0.695098039215686,0.96078431372549,0.698938775510204,1
153,deplete,1,control-deplete,congruent,0.784369318181818,0.971590909090909,0.734983193277311,0.991596638655462,0.733033898305085,2
153,deplete,1,control-deplete,incongruent,0.784369318181818,0.971590909090909,0.887473684210526,0.929824561403509,0.888641509433962,2
155,control,1,control-deplete,congruent,0.636720238095238,0.952380952380952,0.60471052631579,0.973684210526316,0.604630630630631,1
155,control,1,control-deplete,incongruent,0.636720238095238,0.952380952380952,0.704296296296296,0.907407407407407,0.71530612244898,1
155,deplete,1,control-deplete,congruent,0.585467948717949,0.961538461538461,0.555796296296296,0.953703703703704,0.560728155339806,2
155,deplete,1,control-deplete,incongruent,0.585467948717949,0.961538461538461,0.652229166666667,0.979166666666667,0.653425531914894,2
156,control,1,deplete-control,congruent,0.66428,0.937142857142857,0.611822033898305,0.983050847457627,0.61201724137931,2
156,control,1,deplete-control,incongruent,0.66428,0.937142857142857,0.772877192982456,0.842105263157895,0.786875,2
156,deplete,1,deplete-control,congruent,0.63766081871345,0.824561403508772,0.599714285714286,0.915966386554622,0.606477064220183,1
156,deplete,1,deplete-control,incongruent,0.63766081871345,0.824561403508772,0.7245,0.615384615384615,0.7176875,1
157,control,1,control-deplete,congruent,0.691976047904192,0.92814371257485,0.646617391304348,0.965217391304348,0.648927927927928,1
157,control,1,control-deplete,incongruent,0.691976047904192,0.92814371257485,0.792288461538462,0.846153846153846,0.790568181818182,1
157,deplete,1,control-deplete,congruent,0.706406060606061,0.909090909090909,0.67783185840708,0.911504424778761,0.665796116504854,2
157,deplete,1,control-deplete,incongruent,0.706406060606061,0.909090909090909,0.7685,0.903846153846154,0.763893617021277,2
159,control,1,control-deplete,congruent,0.821674285714286,0.851428571428571,0.761136752136752,0.948717948717949,0.758342342342342,1
159,control,1,control-deplete,incongruent,0.821674285714286,0.851428571428571,0.943793103448276,0.655172413793103,0.927026315789474,1
159,deplete,1,control-deplete,congruent,0.708554878048781,0.878048780487805,0.675678571428572,0.892857142857143,0.69265,2
159,deplete,1,control-deplete,incongruent,0.708554878048781,0.878048780487805,0.779365384615385,0.846153846153846,0.783045454545455,2
16,control,1,deplete-control,congruent,0.620497005988024,0.940119760479042,0.593290598290598,1,0.593290598290598,2
16,control,1,deplete-control,incongruent,0.620497005988024,0.940119760479042,0.68416,0.8,0.681,2
16,deplete,1,deplete-control,congruent,0.712714285714286,0.892857142857143,0.668946902654867,1,0.668946902654867,1
16,deplete,1,deplete-control,incongruent,0.712714285714286,0.892857142857143,0.802636363636364,0.672727272727273,0.851702702702703,1
160,control,1,deplete-control,congruent,0.676244047619048,0.940476190476191,0.673571428571429,0.9375,0.691514285714286,2
160,control,1,deplete-control,incongruent,0.676244047619048,0.940476190476191,0.681589285714286,0.946428571428571,0.689169811320755,2
160,deplete,1,deplete-control,congruent,0.745437125748503,0.934131736526946,0.731554545454546,0.945454545454546,0.7445,1
160,deplete,1,deplete-control,incongruent,0.745437125748503,0.934131736526946,0.772228070175439,0.912280701754386,0.791057692307692,1
161,control,1,control-deplete,congruent,0.623892655367232,0.983050847457627,0.591512605042017,1,0.591512605042017,1
161,control,1,control-deplete,incongruent,0.623892655367232,0.983050847457627,0.690327586206897,0.948275862068965,0.689745454545455,1
