study,session,pNo,condition,congruency,sessionOrder,a,v,t0_Ter
2,2,156,control,incongruent,deplete-control,0.1256,0.2207,0.4445
2,1,156,deplete,congruent,deplete-control,0.2095,0.2273,0.2939
2,1,156,deplete,incongruent,deplete-control,0.1437,0.1261,0.5502
2,1,157,control,congruent,control-deplete,0.1085,0.2866,0.4259
2,1,157,control,incongruent,control-deplete,0.112,0.202,0.4727
2,2,157,deplete,congruent,control-deplete,0.0945,0.328,0.4425
2,2,157,deplete,incongruent,control-deplete,0.0895,0.1442,0.4842
2,2,158,control,congruent,deplete-control,0.1719,0.2336,0.3827
2,2,158,control,incongruent,deplete-control,0.1416,0.1825,0.4878
2,1,158,deplete,congruent,deplete-control,0.2417,0.2244,0.314
2,1,158,deplete,incongruent,deplete-control,0.1294,0.1294,0.7046
2,1,159,control,congruent,control-deplete,0.1163,0.3104,0.3698
2,1,159,control,incongruent,control-deplete,0.1136,0.2206,0.3889
2,2,159,deplete,congruent,control-deplete,0.0864,0.2711,0.4212
2,2,159,deplete,incongruent,control-deplete,0.0826,0.2279,0.4177
2,2,160,control,congruent,deplete-control,0.1131,0.2596,0.425
2,2,160,control,incongruent,deplete-control,0.0917,-0.0546,0.437
2,1,160,deplete,congruent,deplete-control,0.1886,0.29,0.3873
2,1,160,deplete,incongruent,deplete-control,0.1099,0.0606,0.5885
2,1,161,control,congruent,control-deplete,0.1284,0.3721,0.4269
2,1,161,control,incongruent,control-deplete,0.0778,0.1382,0.7287
2,2,161,deplete,congruent,control-deplete,0.1151,0.4146,0.4306
2,2,161,deplete,incongruent,control-deplete,0.0999,0.1927,0.5677
2,2,162,control,congruent,deplete-control,0.1112,0.4283,0.3269
2,2,162,control,incongruent,deplete-control,0.0857,0.2065,0.4032
2,1,162,deplete,congruent,deplete-control,0.0832,0.3996,0.376
2,1,162,deplete,incongruent,deplete-control,0.0812,0.2786,0.3897
2,1,163,control,congruent,control-deplete,0.1099,0.3695,0.3441
2,1,163,control,incongruent,control-deplete,0.1076,0.2557,0.3927
2,2,163,deplete,congruent,control-deplete,0.0848,0.3939,0.382
2,2,163,deplete,incongruent,control-deplete,0.0795,0.234,0.3905
2,2,166,control,congruent,deplete-control,0.1105,0.2016,0.4016
2,2,166,control,incongruent,deplete-control,0.1015,0.1129,0.4802
2,1,166,deplete,congruent,deplete-control,0.098,0.2194,0.4466
2,1,166,deplete,incongruent,deplete-control,0.0978,0.1561,0.4991
2,1,167,control,congruent,control-deplete,0.1752,0.2684,0.4314
2,1,167,control,incongruent,control-deplete,0.1398,0.1998,0.5306
2,2,167,deplete,congruent,control-deplete,0.1857,0.2537,0.4725
2,2,167,deplete,incongruent,control-deplete,0.1361,0.1317,0.615
2,2,168,control,congruent,deplete-control,0.092,0.3925,0.4135
2,2,168,control,incongruent,deplete-control,0.0954,0.3309,0.4308
2,1,168,deplete,congruent,deplete-control,0.1055,0.3142,0.4142
2,1,168,deplete,incongruent,deplete-control,0.0944,0.2039,0.4538
2,1,169,control,congruent,control-deplete,0.1488,0.3182,0.4165
2,1,169,control,incongruent,control-deplete,0.1226,0.1746,0.4618
2,2,169,deplete,congruent,control-deplete,0.1266,0.2886,0.4488
2,2,169,deplete,incongruent,control-deplete,0.1078,0.238,0.5709
2,2,170,control,congruent,deplete-control,0.0903,0.4057,0.3989
2,2,170,control,incongruent,deplete-control,0.1132,0.4129,0.3829
2,1,170,deplete,congruent,deplete-control,0.1012,0.3603,0.3591
2,1,170,deplete,incongruent,deplete-control,0.1002,0.2501,0.3671
2,1,171,control,congruent,control-deplete,0.1471,0.3706,0.3466
2,1,171,control,incongruent,control-deplete,0.1314,0.2992,0.4533
2,2,171,deplete,congruent,control-deplete,0.114,0.2727,0.3727
2,2,171,deplete,incongruent,control-deplete,0.1007,0.2775,0.4559
2,2,172,control,congruent,deplete-control,0.1495,0.3658,0.3856
2,2,172,control,incongruent,deplete-control,0.0978,0.2104,0.7109
2,1,172,deplete,congruent,deplete-control,0.2254,0.2423,0.3776
2,1,172,deplete,incongruent,deplete-control,0.1308,0.0896,0.9884
2,1,173,control,congruent,control-deplete,0.1806,0.2641,0.3224
2,1,173,control,incongruent,control-deplete,0.1425,0.1814,0.4288
2,2,173,deplete,congruent,control-deplete,0.1087,0.2859,0.3925
2,2,173,deplete,incongruent,control-deplete,0.1361,0.2917,0.4451
3,1,A1KQV9A4YITCSJ,control,congruent,control-deplete,0.113,0.255,0.3707
3,1,A1KQV9A4YITCSJ,control,incongruent,control-deplete,0.1192,0.1932,0.4773
3,2,A1KQV9A4YITCSJ,deplete,congruent,control-deplete,0.1474,0.2224,0.38
3,2,A1KQV9A4YITCSJ,deplete,incongruent,control-deplete,0.1351,0.1839,0.5055
3,2,A1L3937MY09J3I,control,congruent,deplete-control,0.0964,0.4222,0.3646
3,2,A1L3937MY09J3I,control,incongruent,deplete-control,0.0863,0.2279,0.3892
3,1,A1L3937MY09J3I,deplete,congruent,deplete-control,0.0817,0.3178,0.3617
3,1,A1L3937MY09J3I,deplete,incongruent,deplete-control,0.0715,0.1144,0.3853
3,2,A1L4FKJ6UUBAHV,control,congruent,deplete-control,0.1215,0.3336,0.4184
3,2,A1L4FKJ6UUBAHV,control,incongruent,deplete-control,0.1246,0.232,0.4388
3,1,A1L4FKJ6UUBAHV,deplete,congruent,deplete-control,0.1048,0.4542,0.4319
3,1,A1L4FKJ6UUBAHV,deplete,incongruent,deplete-control,0.0859,0.303,0.4345
3,2,A1L6PGLE7CIS12,control,congruent,deplete-control,0.1399,0.3409,0.485
3,2,A1L6PGLE7CIS12,control,incongruent,deplete-control,0.0974,0.2039,0.7254
3,1,A1L6PGLE7CIS12,deplete,congruent,deplete-control,0.1079,0.3394,0.4812
3,1,A1L6PGLE7CIS12,deplete,incongruent,deplete-control,0.089,0.1434,0.7342
3,2,A1LB9JOMFQ1UMG,control,congruent,deplete-control,0.119,0.3399,0.3365
3,2,A1LB9JOMFQ1UMG,control,incongruent,deplete-control,0.1039,0.2669,0.4198
3,1,A1LB9JOMFQ1UMG,deplete,congruent,deplete-control,0.1482,0.2673,0.3076
3,1,A1LB9JOMFQ1UMG,deplete,incongruent,deplete-control,0.123,0.2287,0.4024
3,2,A1LQLIHRB3SCXN,control,congruent,deplete-control,0.1194,0.2604,0.3981
3,2,A1LQLIHRB3SCXN,control,incongruent,deplete-control,0.1275,0.1982,0.4885
3,1,A1LQLIHRB3SCXN,deplete,congruent,deplete-control,0.12,0.2776,0.403
3,1,A1LQLIHRB3SCXN,deplete,incongruent,deplete-control,0.1241,0.1839,0.4818
3,2,A1MDZ1K2AL9EKW,control,congruent,deplete-control,0.1583,0.346,0.3987
3,2,A1MDZ1K2AL9EKW,control,incongruent,deplete-control,0.1519,0.3076,0.587
3,1,A1MDZ1K2AL9EKW,deplete,congruent,deplete-control,0.1364,0.3984,0.4469
3,1,A1MDZ1K2AL9EKW,deplete,incongruent,deplete-control,0.1275,0.368,0.5947
3,1,A1MRBBA2OLM223,control,congruent,control-deplete,0.1578,0.3029,0.4023
3,1,A1MRBBA2OLM223,control,incongruent,control-deplete,0.1354,0.2135,0.4897
3,2,A1MRBBA2OLM223,deplete,congruent,control-deplete,0.1532,0.2193,0.4324
3,2,A1MRBBA2OLM223,deplete,incongruent,control-deplete,0.1446,0.2024,0.4765
3,2,A1N1EF0MIRSEZZ,control,congruent,deplete-control,0.172,0.2778,0.3527
3,2,A1N1EF0MIRSEZZ,control,incongruent,deplete-control,0.1173,0.1677,0.556
3,1,A1N1EF0MIRSEZZ,deplete,congruent,deplete-control,0.1559,0.3481,0.3464
3,1,A1N1EF0MIRSEZZ,deplete,incongruent,deplete-control,0.0957,0.2529,0.443
3,2,A1N8TKTLXV92QR,control,congruent,deplete-control,0.1438,0.3772,0.422
3,2,A1N8TKTLXV92QR,control,incongruent,deplete-control,0.1189,0.2431,0.5329
3,1,A1N8TKTLXV92QR,deplete,congruent,deplete-control,0.1211,0.2274,0.4359
3,1,A1N8TKTLXV92QR,deplete,incongruent,deplete-control,0.124,0.1726,0.5378
3,2,A1NCSZCN8EA787,control,congruent,deplete-control,0.1181,0.3043,0.46
3,2,A1NCSZCN8EA787,control,incongruent,deplete-control,0.0982,0.22,0.4876
3,1,A1NCSZCN8EA787,deplete,congruent,deplete-control,0.0988,0.2606,0.5393
3,1,A1NCSZCN8EA787,deplete,incongruent,deplete-control,0.0935,0.2102,0.5826
3,2,A1NK84W9T83USS,control,congruent,deplete-control,0.1314,0.2039,0.4296
3,2,A1NK84W9T83USS,control,incongruent,deplete-control,0.1297,0.15,0.5565
3,1,A1NK84W9T83USS,deplete,congruent,deplete-control,0.1319,0.2731,0.4407
3,1,A1NK84W9T83USS,deplete,incongruent,deplete-control,0.1152,0.2175,0.5091
3,2,A1PF1TUEBW499M,control,congruent,deplete-control,0.1843,0.2584,0.3187
3,2,A1PF1TUEBW499M,control,incongruent,deplete-control,0.1322,0.1502,0.555
3,1,A1PF1TUEBW499M,deplete,congruent,deplete-control,0.1843,0.2967,0.4059
3,1,A1PF1TUEBW499M,deplete,incongruent,deplete-control,0.1063,0.1561,0.6835
3,2,A1PKCBFB4QY19G,control,congruent,deplete-control,0.1339,0.4064,0.357
3,2,A1PKCBFB4QY19G,control,incongruent,deplete-control,0.1121,0.2956,0.3822
3,1,A1PKCBFB4QY19G,deplete,congruent,deplete-control,0.0869,0.4163,0.4017
3,1,A1PKCBFB4QY19G,deplete,incongruent,deplete-control,0.1048,0.3789,0.4112
3,2,A1QIJ94TJ6FZ2W,control,congruent,deplete-control,0.0979,0.1831,0.3993
3,2,A1QIJ94TJ6FZ2W,control,incongruent,deplete-control,0.082,0.1725,0.4602
3,1,A1QIJ94TJ6FZ2W,deplete,congruent,deplete-control,0.0969,0.3151,0.4149
3,1,A1QIJ94TJ6FZ2W,deplete,incongruent,deplete-control,0.0884,0.256,0.4573
3,1,A1QRGVE005067Q,control,congruent,control-deplete,0.176,0.3097,0.3687
3,1,A1QRGVE005067Q,control,incongruent,control-deplete,0.1391,0.2383,0.5205
3,2,A1QRGVE005067Q,deplete,congruent,control-deplete,0.1755,0.2719,0.4016
3,2,A1QRGVE005067Q,deplete,incongruent,control-deplete,0.1337,0.2176,0.5103
3,1,A1QX1RYLCFXZJ9,control,congruent,control-deplete,0.1543,0.3545,0.4957
3,1,A1QX1RYLCFXZJ9,control,incongruent,control-deplete,0.1494,0.314,0.5262
3,2,A1QX1RYLCFXZJ9,deplete,congruent,control-deplete,0.1581,0.3454,0.5529
3,2,A1QX1RYLCFXZJ9,deplete,incongruent,control-deplete,0.1399,0.2902,0.6216
3,1,A1TO8F0HIM1OBQ,control,congruent,control-deplete,0.1258,0.2456,0.5028
3,1,A1TO8F0HIM1OBQ,control,incongruent,control-deplete,0.1254,0.2211,0.6264
3,2,A1TO8F0HIM1OBQ,deplete,congruent,control-deplete,0.1398,0.2596,0.4477
3,2,A1TO8F0HIM1OBQ,deplete,incongruent,control-deplete,0.13,0.2224,0.5321
3,2,A1UW7LB6F8JE5L,control,congruent,deplete-control,0.1856,0.2927,0.4223
3,2,A1UW7LB6F8JE5L,control,incongruent,deplete-control,0.1665,0.2407,0.4944
3,1,A1UW7LB6F8JE5L,deplete,congruent,deplete-control,0.1958,0.2793,0.3913
3,1,A1UW7LB6F8JE5L,deplete,incongruent,deplete-control,0.1247,0.1732,0.57
3,1,A1UXVLMCA3PBIL,control,congruent,control-deplete,0.1401,0.1952,0.4229
3,1,A1UXVLMCA3PBIL,control,incongruent,control-deplete,0.1093,0.1376,0.6494
3,2,A1UXVLMCA3PBIL,deplete,congruent,control-deplete,0.1321,0.2173,0.4348
3,2,A1UXVLMCA3PBIL,deplete,incongruent,control-deplete,0.1286,0.198,0.5364
3,1,A1UY2W2FL9CWN,control,congruent,control-deplete,0.1583,0.2565,0.3555
3,1,A1UY2W2FL9CWN,control,incongruent,control-deplete,0.1282,0.1414,0.5852
3,2,A1UY2W2FL9CWN,deplete,congruent,control-deplete,0.1426,0.2557,0.3902
3,2,A1UY2W2FL9CWN,deplete,incongruent,control-deplete,0.1388,0.1674,0.5406
3,2,A1V2P0JYPD7GM6,control,congruent,deplete-control,0.1165,0.2124,0.3887
3,2,A1V2P0JYPD7GM6,control,incongruent,deplete-control,0.1059,0.1289,0.4352
3,1,A1V2P0JYPD7GM6,deplete,congruent,deplete-control,0.0848,0.306,0.4398
3,1,A1V2P0JYPD7GM6,deplete,incongruent,deplete-control,,,
3,2,A1VZSFHTU51JP0,control,congruent,deplete-control,0.0936,0.5089,0.3789
3,2,A1VZSFHTU51JP0,control,incongruent,deplete-control,0.0864,0.3345,0.4056
3,1,A1VZSFHTU51JP0,deplete,congruent,deplete-control,0.092,0.3984,0.4131
3,1,A1VZSFHTU51JP0,deplete,incongruent,deplete-control,0.1204,0.3232,0.4157
3,1,A1W8B7P1WVD7TX,control,congruent,control-deplete,0.1532,0.2628,0.3218
3,1,A1W8B7P1WVD7TX,control,incongruent,control-deplete,0.1266,0.2207,0.5166
3,2,A1W8B7P1WVD7TX,deplete,congruent,control-deplete,0.173,0.2748,0.3142
3,2,A1W8B7P1WVD7TX,deplete,incongruent,control-deplete,0.1137,0.1629,0.5741
3,1,A1X6Z93V4G0Q8H,control,congruent,control-deplete,0.1262,0.378,0.4421
3,1,A1X6Z93V4G0Q8H,control,incongruent,control-deplete,0.1184,0.3197,0.5491
3,2,A1X6Z93V4G0Q8H,deplete,congruent,control-deplete,0.1224,0.4459,0.4339
3,2,A1X6Z93V4G0Q8H,deplete,incongruent,control-deplete,0.0981,0.2169,0.5762
3,2,A1YBZWXXW358IF,control,congruent,deplete-control,0.1028,0.3015,0.3849
3,2,A1YBZWXXW358IF,control,incongruent,deplete-control,0.115,0.2899,0.4086
3,1,A1YBZWXXW358IF,deplete,congruent,deplete-control,0.123,0.2965,0.3869
3,1,A1YBZWXXW358IF,deplete,incongruent,deplete-control,0.1371,0.2431,0.3868
3,2,A1ZY2UA462KD1T,control,congruent,deplete-control,0.1613,0.3374,0.3996
3,2,A1ZY2UA462KD1T,control,incongruent,deplete-control,0.1176,0.1958,0.5249
3,1,A1ZY2UA462KD1T,deplete,congruent,deplete-control,0.1297,0.3659,0.4284
3,1,A1ZY2UA462KD1T,deplete,incongruent,deplete-control,0.1258,0.2559,0.5037
3,1,A200B5666JH42R,control,congruent,control-deplete,0.1298,0.2567,0.4141
3,1,A200B5666JH42R,control,incongruent,control-deplete,0.1205,0.1648,0.5159
3,2,A200B5666JH42R,deplete,congruent,control-deplete,0.1482,0.3219,0.3949
3,2,A200B5666JH42R,deplete,incongruent,control-deplete,0.1099,0.1464,0.5539
3,1,A20NITCOBY4775,control,congruent,control-deplete,0.1369,0.3988,0.4471
3,1,A20NITCOBY4775,control,incongruent,control-deplete,0.1151,0.2511,0.4926
3,2,A20NITCOBY4775,deplete,congruent,control-deplete,0.1066,0.4466,0.4836
3,2,A20NITCOBY4775,deplete,incongruent,control-deplete,0.1117,0.2967,0.4975
3,1,A20WI3VW3CBOWN,control,congruent,control-deplete,0.1492,0.3666,0.3495
3,1,A20WI3VW3CBOWN,control,incongruent,control-deplete,0.1275,0.3171,0.4924
3,2,A20WI3VW3CBOWN,deplete,congruent,control-deplete,0.1284,0.2552,0.3367
3,2,A20WI3VW3CBOWN,deplete,incongruent,control-deplete,0.0985,0.2318,0.5141
3,1,A23437BMZ5T1FH,control,congruent,control-deplete,0.0997,0.2764,0.347
3,1,A23437BMZ5T1FH,control,incongruent,control-deplete,0.0993,0.1959,0.3899
3,2,A23437BMZ5T1FH,deplete,congruent,control-deplete,0.0915,0.3358,0.3853
3,2,A23437BMZ5T1FH,deplete,incongruent,control-deplete,0.1104,0.2549,0.3906
3,1,A242IU4GZ27M3R,control,congruent,control-deplete,0.083,0.3767,0.3953
3,1,A242IU4GZ27M3R,control,incongruent,control-deplete,0.0908,0.2357,0.4005
3,2,A242IU4GZ27M3R,deplete,congruent,control-deplete,0.1037,0.4598,0.3757
3,2,A242IU4GZ27M3R,deplete,incongruent,control-deplete,0.0789,0.1988,0.4038
3,2,A250FES5PFCGK9,control,congruent,deplete-control,0.0994,0.4092,0.3967
3,2,A250FES5PFCGK9,control,incongruent,deplete-control,0.1159,0.4048,0.4045
3,1,A250FES5PFCGK9,deplete,congruent,deplete-control,0.0953,0.3809,0.4166
3,1,A250FES5PFCGK9,deplete,incongruent,deplete-control,0.1067,0.4447,0.4228
3,2,A2531UD0IGT731,control,congruent,deplete-control,0.172,0.2773,0.3503
3,2,A2531UD0IGT731,control,incongruent,deplete-control,0.1664,0.243,0.4982
3,1,A2531UD0IGT731,deplete,congruent,deplete-control,0.1727,0.3161,0.3568
3,1,A2531UD0IGT731,deplete,incongruent,deplete-control,0.1145,0.2239,0.5348
3,2,A26A4HEBGP2MOX,control,congruent,deplete-control,0.1128,0.2715,0.378
3,2,A26A4HEBGP2MOX,control,incongruent,deplete-control,0.1082,0.2127,0.4284
3,1,A26A4HEBGP2MOX,deplete,congruent,deplete-control,0.0907,0.2226,0.4032
3,1,A26A4HEBGP2MOX,deplete,incongruent,deplete-control,0.1126,0.2045,0.3991
3,2,A26I76BUCO0LAO,control,congruent,deplete-control,0.1305,0.3663,0.579
3,2,A26I76BUCO0LAO,control,incongruent,deplete-control,0.1233,0.2702,0.741
3,1,A26I76BUCO0LAO,deplete,congruent,deplete-control,0.1554,0.3519,0.4455
3,1,A26I76BUCO0LAO,deplete,incongruent,deplete-control,0.0867,0.0921,0.6407
3,1,A26NGLGGFTATVN,control,congruent,control-deplete,0.1543,0.3543,0.4354
3,1,A26NGLGGFTATVN,control,incongruent,control-deplete,0.1107,0.2889,0.6432
3,2,A26NGLGGFTATVN,deplete,congruent,control-deplete,0.1413,0.3376,0.3932
3,2,A26NGLGGFTATVN,deplete,incongruent,control-deplete,0.1545,0.3072,0.5352
3,1,A27CB6JIC5MZFR,control,congruent,control-deplete,0.124,0.1966,0.3526
3,1,A27CB6JIC5MZFR,control,incongruent,control-deplete,0.1094,0.1549,0.5296
3,2,A27CB6JIC5MZFR,deplete,congruent,control-deplete,0.1401,0.3896,0.3483
3,2,A27CB6JIC5MZFR,deplete,incongruent,control-deplete,0.1047,0.2222,0.3848
3,2,A27NBGO9FXJS8Q,control,congruent,deplete-control,0.1223,0.3837,0.4136
3,2,A27NBGO9FXJS8Q,control,incongruent,deplete-control,0.0998,0.2779,0.467
3,1,A27NBGO9FXJS8Q,deplete,congruent,deplete-control,0.1048,0.347,0.3993
3,1,A27NBGO9FXJS8Q,deplete,incongruent,deplete-control,0.0898,0.2383,0.4654
3,2,A281ASP4WWAN3E,control,congruent,deplete-control,0.2051,0.2305,0.3576
3,2,A281ASP4WWAN3E,control,incongruent,deplete-control,0.1374,0.1867,0.6346
3,1,A281ASP4WWAN3E,deplete,congruent,deplete-control,0.1583,0.3455,0.4428
3,1,A281ASP4WWAN3E,deplete,incongruent,deplete-control,0.1322,0.2157,0.6042
3,2,A28SYXQL3YOKVL,control,congruent,deplete-control,0.1388,0.2626,0.4567
3,2,A28SYXQL3YOKVL,control,incongruent,deplete-control,0.1342,0.214,0.5547
3,1,A28SYXQL3YOKVL,deplete,congruent,deplete-control,0.109,0.2852,0.4623
3,1,A28SYXQL3YOKVL,deplete,incongruent,deplete-control,0.117,0.2159,0.4731
3,2,A299AYFO0RJGDI,control,congruent,deplete-control,0.1989,0.1671,0.4188
3,2,A299AYFO0RJGDI,control,incongruent,deplete-control,0.1484,0.1339,0.7183
3,1,A299AYFO0RJGDI,deplete,congruent,deplete-control,0.1647,0.222,0.4911
3,1,A299AYFO0RJGDI,deplete,incongruent,deplete-control,0.1319,0.1157,0.652
3,1,A29A2MQMPJW1O9,control,congruent,control-deplete,0.1208,0.2981,0.4764
3,1,A29A2MQMPJW1O9,control,incongruent,control-deplete,0.1171,0.2782,0.6003
3,2,A29A2MQMPJW1O9,deplete,congruent,control-deplete,0.1088,0.4386,0.4477
3,2,A29A2MQMPJW1O9,deplete,incongruent,control-deplete,0.0867,0.2586,0.5206
3,2,A29I0O9V6N1CY,control,congruent,deplete-control,0.1478,0.3689,0.4254
3,2,A29I0O9V6N1CY,control,incongruent,deplete-control,0.151,0.3119,0.4305
3,1,A29I0O9V6N1CY,deplete,congruent,deplete-control,0.1558,0.3061,0.4691
3,1,A29I0O9V6N1CY,deplete,incongruent,deplete-control,0.1704,0.2785,0.5166
3,1,A2A07LB5EG953J,control,congruent,control-deplete,0.1339,0.3569,0.3602
3,1,A2A07LB5EG953J,control,incongruent,control-deplete,0.0952,0.1341,0.4299
3,2,A2A07LB5EG953J,deplete,congruent,control-deplete,0.1052,0.3467,0.4252
3,2,A2A07LB5EG953J,deplete,incongruent,control-deplete,0.0891,0.1149,0.5027
3,1,A2B8EAPA608JDH,control,congruent,control-deplete,0.1453,0.3739,0.4987
3,1,A2B8EAPA608JDH,control,incongruent,control-deplete,0.1587,0.2945,0.6236
3,2,A2B8EAPA608JDH,deplete,congruent,control-deplete,0.152,0.3587,0.5042
3,2,A2B8EAPA608JDH,deplete,incongruent,control-deplete,0.1515,0.3034,0.668
3,1,A2BJULD0NVFD30,control,congruent,control-deplete,0.0887,0.2044,0.3659
3,1,A2BJULD0NVFD30,control,incongruent,control-deplete,0.0944,0.1108,0.3675
3,2,A2BJULD0NVFD30,deplete,congruent,control-deplete,0.1264,0.1769,0.3975
3,2,A2BJULD0NVFD30,deplete,incongruent,control-deplete,0.1383,0.128,0.4142
3,1,A2BN1CX0PTWBXW,control,congruent,control-deplete,0.1187,0.3968,0.4038
3,1,A2BN1CX0PTWBXW,control,incongruent,control-deplete,0.0956,0.2108,0.4624
3,2,A2BN1CX0PTWBXW,deplete,congruent,control-deplete,0.1354,0.3,0.3959
3,2,A2BN1CX0PTWBXW,deplete,incongruent,control-deplete,0.1033,0.1863,0.4377
3,1,A2E3TO92MCQ9XU,control,congruent,control-deplete,0.1102,0.2829,0.4369
3,1,A2E3TO92MCQ9XU,control,incongruent,control-deplete,0.1027,0.2222,0.4388
3,2,A2E3TO92MCQ9XU,deplete,congruent,control-deplete,0.1013,0.2861,0.44
3,2,A2E3TO92MCQ9XU,deplete,incongruent,control-deplete,0.1238,0.2677,0.4281
3,1,A2E5PZUD6W4OA1,control,congruent,control-deplete,0.1116,0.3229,0.4471
3,1,A2E5PZUD6W4OA1,control,incongruent,control-deplete,0.123,0.3058,0.5395
3,2,A2E5PZUD6W4OA1,deplete,congruent,control-deplete,0.1123,0.3233,0.4508
3,2,A2E5PZUD6W4OA1,deplete,incongruent,control-deplete,0.0978,0.1668,0.5099
3,1,A2ECXGDFC0NJEL,control,congruent,control-deplete,0.1357,0.403,0.4228
3,1,A2ECXGDFC0NJEL,control,incongruent,control-deplete,0.1027,0.228,0.487
3,2,A2ECXGDFC0NJEL,deplete,congruent,control-deplete,0.1172,0.4665,0.3997
3,2,A2ECXGDFC0NJEL,deplete,incongruent,control-deplete,0.1148,0.4085,0.4713
3,1,A2EFO6X8SCDLFL,control,congruent,control-deplete,0.1575,0.255,0.7879
3,1,A2EFO6X8SCDLFL,control,incongruent,control-deplete,0.1077,0.1912,0.9835
3,2,A2EFO6X8SCDLFL,deplete,congruent,control-deplete,0.115,0.2898,0.827
3,2,A2EFO6X8SCDLFL,deplete,incongruent,control-deplete,0.103,0.2235,0.904
3,2,A2EFZBN4OLNH7S,control,congruent,deplete-control,0.1202,0.2773,0.4008
3,2,A2EFZBN4OLNH7S,control,incongruent,deplete-control,0.095,0.1459,0.5037
3,1,A2EFZBN4OLNH7S,deplete,congruent,deplete-control,0.112,0.3255,0.4083
3,1,A2EFZBN4OLNH7S,deplete,incongruent,deplete-control,0.1088,0.2117,0.4948
3,2,A2EKR2ZFO10VMV,control,congruent,deplete-control,0.1808,0.1556,0.3635
3,2,A2EKR2ZFO10VMV,control,incongruent,deplete-control,0.1795,0.161,0.5055
3,1,A2EKR2ZFO10VMV,deplete,congruent,deplete-control,0.1322,0.2494,0.4227
3,1,A2EKR2ZFO10VMV,deplete,incongruent,deplete-control,0.1163,0.1383,0.5354
3,2,A2EPBSY0VPI38S,control,congruent,deplete-control,0.1557,0.3501,0.4391
3,2,A2EPBSY0VPI38S,control,incongruent,deplete-control,0.147,0.2726,0.4678
3,1,A2EPBSY0VPI38S,deplete,congruent,deplete-control,0.1645,0.2906,0.3892
3,1,A2EPBSY0VPI38S,deplete,incongruent,deplete-control,0.1216,0.2754,0.5834
3,2,A2FE0I7W269C1C,control,congruent,deplete-control,0.1387,0.393,0.4362
3,2,A2FE0I7W269C1C,control,incongruent,deplete-control,0.1069,0.2575,0.5034
3,1,A2FE0I7W269C1C,deplete,congruent,deplete-control,0.1198,0.399,0.466
3,1,A2FE0I7W269C1C,deplete,incongruent,deplete-control,0.1014,0.243,0.5225
3,1,A2HA52MJN7CTLM,control,congruent,control-deplete,0.1471,0.3717,0.3733
3,1,A2HA52MJN7CTLM,control,incongruent,control-deplete,0.1173,0.1605,0.4362
3,2,A2HA52MJN7CTLM,deplete,congruent,control-deplete,0.1345,0.3535,0.3863
3,2,A2HA52MJN7CTLM,deplete,incongruent,control-deplete,0.102,0.1997,0.5992
3,1,A2HEZCJ1DMZAAX,control,congruent,control-deplete,0.1042,0.2181,0.4877
3,1,A2HEZCJ1DMZAAX,control,incongruent,control-deplete,0.1045,0.13,0.4972
3,2,A2HEZCJ1DMZAAX,deplete,congruent,control-deplete,0.0958,0.4236,0.4443
3,2,A2HEZCJ1DMZAAX,deplete,incongruent,control-deplete,0.0793,0.1998,0.4983
3,2,A2HJILSBIS7TQS,control,congruent,deplete-control,0.145,0.3254,0.3485
3,2,A2HJILSBIS7TQS,control,incongruent,deplete-control,0.1152,0.1689,0.432
3,1,A2HJILSBIS7TQS,deplete,congruent,deplete-control,0.1179,0.3086,0.3503
3,1,A2HJILSBIS7TQS,deplete,incongruent,deplete-control,0.1013,0.1859,0.5023
3,1,A2INXY39KBM92F,control,congruent,control-deplete,0.127,0.3197,0.3773
3,1,A2INXY39KBM92F,control,incongruent,control-deplete,0.1149,0.2181,0.4463
3,2,A2INXY39KBM92F,deplete,congruent,control-deplete,0.1118,0.261,0.3969
3,2,A2INXY39KBM92F,deplete,incongruent,control-deplete,0.1007,0.2064,0.4748
3,1,A2JFRMQ3M0YZT2,control,congruent,control-deplete,0.1124,0.3221,0.4351
3,1,A2JFRMQ3M0YZT2,control,incongruent,control-deplete,0.1134,0.2745,0.4997
3,2,A2JFRMQ3M0YZT2,deplete,congruent,control-deplete,0.1252,0.3243,0.4044
3,2,A2JFRMQ3M0YZT2,deplete,incongruent,control-deplete,0.1263,0.2533,0.4742
3,1,A2JYPDENMYQRZK,control,congruent,control-deplete,0.1319,0.2271,0.4572
3,1,A2JYPDENMYQRZK,control,incongruent,control-deplete,0.1044,0.142,0.5452
3,2,A2JYPDENMYQRZK,deplete,congruent,control-deplete,0.1602,0.2491,0.3804
3,2,A2JYPDENMYQRZK,deplete,incongruent,control-deplete,0.1095,0.2231,0.5386
3,2,A2LBOI8RQABGFP,control,congruent,deplete-control,0.1395,0.3419,0.3769
3,2,A2LBOI8RQABGFP,control,incongruent,deplete-control,0.1305,0.3056,0.4259
3,1,A2LBOI8RQABGFP,deplete,congruent,deplete-control,0.1278,0.319,0.4443
3,1,A2LBOI8RQABGFP,deplete,incongruent,deplete-control,0.1359,0.2935,0.4436
3,2,A2LI0QVPKA5CG8,control,congruent,deplete-control,0.1521,0.3125,0.4002
3,2,A2LI0QVPKA5CG8,control,incongruent,deplete-control,0.123,0.2365,0.5133
3,1,A2LI0QVPKA5CG8,deplete,congruent,deplete-control,0.1854,0.2941,0.3853
