study,session,pNo,condition,congruency,sessionOrder,a,v,t0_Ter
1,2,79,deplete,congruent,control-deplete,0.1209,0.3917,0.4503
1,2,79,deplete,incongruent,control-deplete,0.0839,0.2745,0.469
1,2,80,control,congruent,deplete-control,0.1051,0.2742,0.3872
1,2,80,control,incongruent,deplete-control,0.107,0.2341,0.4087
1,1,80,deplete,congruent,deplete-control,0.1499,0.3636,0.3366
1,1,80,deplete,incongruent,deplete-control,0.1468,0.3157,0.3728
1,1,81,control,congruent,control-deplete,0.1334,0.301,0.4945
1,1,81,control,incongruent,control-deplete,0.1033,0.1621,0.578
1,2,81,deplete,congruent,control-deplete,0.0901,0.2438,0.4839
1,2,81,deplete,incongruent,control-deplete,0.0888,0.1384,0.5403
1,2,82,control,congruent,deplete-control,0.1251,0.3218,0.366
1,2,82,control,incongruent,deplete-control,0.1181,0.2235,0.3809
1,1,82,deplete,congruent,deplete-control,0.1572,0.3014,0.335
1,1,82,deplete,incongruent,deplete-control,0.1322,0.2465,0.4207
1,1,83,control,congruent,control-deplete,0.1351,0.2472,0.3852
1,1,83,control,incongruent,control-deplete,0.1281,0.1257,0.4308
1,2,83,deplete,congruent,control-deplete,0.1192,0.2631,0.4056
1,2,83,deplete,incongruent,control-deplete,0.1038,0.0501,0.514
1,2,84,control,congruent,deplete-control,0.1583,0.3455,0.3745
1,2,84,control,incongruent,deplete-control,0.1248,0.2086,0.45
1,1,84,deplete,congruent,deplete-control,0.1085,0.3319,0.4209
1,1,84,deplete,incongruent,deplete-control,0.0985,0.1355,0.4301
1,1,85,control,congruent,control-deplete,0.1196,0.2973,0.4508
1,1,85,control,incongruent,control-deplete,0.1216,0.2694,0.4749
1,2,85,deplete,congruent,control-deplete,0.1104,0.2341,0.4093
1,2,85,deplete,incongruent,control-deplete,0.1086,0.2083,0.4688
1,2,86,control,congruent,deplete-control,0.1222,0.3287,0.4305
1,2,86,control,incongruent,deplete-control,0.1239,0.2254,0.4753
1,1,86,deplete,congruent,deplete-control,0.1167,0.2353,0.445
1,1,86,deplete,incongruent,deplete-control,0.115,0.1558,0.5382
1,1,87,control,congruent,control-deplete,0.115,0.3522,0.4119
1,1,87,control,incongruent,control-deplete,0.0936,0.1971,0.4728
1,2,87,deplete,congruent,control-deplete,0.1225,0.3314,0.4501
1,2,87,deplete,incongruent,control-deplete,0.1075,0.1954,0.5658
1,1,89,control,congruent,control-deplete,0.1807,0.263,0.3649
1,1,89,control,incongruent,control-deplete,0.1361,0.1199,0.6038
1,2,89,deplete,congruent,control-deplete,0.1255,0.2425,0.4235
1,2,89,deplete,incongruent,control-deplete,0.1211,0.1837,0.4802
1,1,91,control,congruent,control-deplete,0.0993,0.4062,0.3991
1,1,91,control,incongruent,control-deplete,0.0864,0.2228,0.4479
1,2,91,deplete,congruent,control-deplete,0.0826,0.4069,0.3593
1,2,91,deplete,incongruent,control-deplete,0.0768,0.1399,0.3784
1,2,92,control,congruent,deplete-control,0.0929,0.3606,0.3467
1,2,92,control,incongruent,deplete-control,0.082,0.2159,0.3617
1,1,92,deplete,congruent,deplete-control,0.0789,0.3005,0.3379
1,1,92,deplete,incongruent,deplete-control,0.0744,0.1377,0.3308
1,1,93,control,congruent,control-deplete,0.2159,0.2198,0.3769
1,1,93,control,incongruent,control-deplete,0.1466,0.1128,0.7816
1,2,93,deplete,congruent,control-deplete,0.15,0.3622,0.4463
1,2,93,deplete,incongruent,control-deplete,0.1199,0.2651,0.6983
1,2,94,control,congruent,deplete-control,0.1485,0.3636,0.4058
1,2,94,control,incongruent,deplete-control,0.118,0.2675,0.4949
1,1,94,deplete,congruent,deplete-control,0.1771,0.2679,0.3423
1,1,94,deplete,incongruent,deplete-control,0.1452,0.2256,0.5253
1,2,96,control,congruent,deplete-control,0.1059,0.3785,0.4437
1,2,96,control,incongruent,deplete-control,0.0929,0.2917,0.5251
1,1,96,deplete,congruent,deplete-control,0.1162,0.406,0.4496
1,1,96,deplete,incongruent,deplete-control,0.0971,0.2051,0.5214
1,1,97,control,congruent,control-deplete,0.1663,0.1634,0.3655
1,1,97,control,incongruent,control-deplete,0.1653,0.1202,0.4456
1,2,97,deplete,congruent,control-deplete,0.23,0.237,0.3151
1,2,97,deplete,incongruent,control-deplete,0.1335,0.1487,0.5924
1,2,98,control,congruent,deplete-control,0.1333,0.3565,0.3748
1,2,98,control,incongruent,deplete-control,0.1459,0.3176,0.3637
1,1,98,deplete,congruent,deplete-control,0.1679,0.3237,0.3346
1,1,98,deplete,incongruent,deplete-control,0.1147,0.2341,0.4563
1,1,101,control,congruent,control-deplete,0.172,0.3169,0.4249
1,1,101,control,incongruent,control-deplete,0.0991,0.1831,0.6865
1,2,101,deplete,congruent,control-deplete,0.143,0.3823,0.4171
1,2,101,deplete,incongruent,control-deplete,0.1146,0.4092,0.6576
1,2,102,control,congruent,deplete-control,0.1293,0.3147,0.403
1,2,102,control,incongruent,deplete-control,0.0974,0.1719,0.5201
1,1,102,deplete,congruent,deplete-control,0.1514,0.314,0.485
1,1,102,deplete,incongruent,deplete-control,0.1241,0.2182,0.5941
1,1,103,control,congruent,control-deplete,0.0997,0.2944,0.3859
1,1,103,control,incongruent,control-deplete,0.0985,0.0915,0.3618
1,2,103,deplete,congruent,control-deplete,0.0998,0.2462,0.367
1,2,103,deplete,incongruent,control-deplete,0.0982,0.2345,0.4397
1,2,104,control,congruent,deplete-control,0.1262,0.4327,0.4249
1,2,104,control,incongruent,deplete-control,0.0937,0.2559,0.5133
1,1,104,deplete,congruent,deplete-control,0.1439,0.3794,0.43
1,1,104,deplete,incongruent,deplete-control,0.1004,0.1603,0.4712
1,1,105,control,congruent,control-deplete,0.1235,0.3236,0.3804
1,1,105,control,incongruent,control-deplete,0.0952,0.2236,0.4519
1,2,105,deplete,congruent,control-deplete,0.1279,0.4183,0.4218
1,2,105,deplete,incongruent,control-deplete,0.0949,0.2573,0.4823
1,2,106,control,congruent,deplete-control,0.1796,0.3044,0.423
1,2,106,control,incongruent,deplete-control,0.118,0.2174,0.6618
1,1,106,deplete,congruent,deplete-control,0.1759,0.3099,0.4407
1,1,106,deplete,incongruent,deplete-control,0.1179,0.1538,0.5857
1,2,108,control,congruent,deplete-control,0.119,0.3406,0.3458
1,2,108,control,incongruent,deplete-control,0.1247,0.2479,0.3923
1,1,108,deplete,congruent,deplete-control,0.1046,0.3451,0.4013
1,1,108,deplete,incongruent,deplete-control,0.1114,0.2776,0.3923
1,1,109,control,congruent,control-deplete,0.1559,0.3486,0.4148
1,1,109,control,incongruent,control-deplete,0.1206,0.2026,0.5589
1,2,109,deplete,congruent,control-deplete,0.1898,0.2849,0.4063
