pNo,condition,study,a,v,bored,effort,fatigue,frustrate,mentaldemand,session
241,deplete,1,0.10915,0.2641,59,38,36,35,45,2
245,control,1,0.15065,0.3045,40,10,10,10,42,1
245,deplete,1,0.11735,0.2904,70,16,41,51,12,2
246,control,1,0.1358,0.2094,45,26,33,32,33,2
246,deplete,1,0.10795,0.16325,45,55,52,57,51,1
247,control,1,0.1461,0.2334,19,20,10,10,22,1
247,deplete,1,0.11815,0.2634,70,50,34,70,56,2
249,control,1,0.1567,0.2961,30,28,11,13,16,1
249,deplete,1,0.12905,0.3095,22,62,55,70,66,2
250,control,1,0.1165,0.25835,15,11,12,11,12,2
250,deplete,1,0.11525,0.20585,65,26,49,32,42,1
252,control,1,0.0974,0.24545,49,19,41,12,29,2
252,deplete,1,0.0878,0.28595,48,28,52,14,45,1
253,control,1,0.1072,0.39595,12,15,11,11,21,1
253,deplete,1,0.11535,0.3495,50,53,35,60,60,2
254,control,1,0.1272,0.28795,33,25,17,18,39,2
254,deplete,1,0.1075,0.2482,44,43,42,42,46,1
255,control,1,0.13465,0.20705,40,11,10,12,14,1
255,deplete,1,0.1142,0.2212,68,50,59,43,52,2
256,control,1,0.1002,0.3333,16,13,34,12,33,2
256,deplete,1,0.1381,0.35815,10,67,65,11,60,1
257,control,1,0.086,0.2565,64,10,22,10,19,1
257,deplete,1,0.09545,0.3266,31,54,53,58,62,2
258,control,1,0.14145,0.2299,54,16,20,14,16,2
258,deplete,1,0.15345,0.09515,60,51,46,54,51,1
260,control,1,0.095,0.1986,67,14,13,15,15,2
260,deplete,1,0.10705,0.20835,70,29,70,65,50,1
264,control,1,0.1115,0.30275,23,16,15,33,18,2
264,deplete,1,0.09755,0.29755,56,62,59,63,65,1
265,control,1,0.1106,0.2919,49,40,45,14,31,1
265,deplete,1,0.0923,0.24395,60,61,46,58,52,2
266,control,1,0.0858,0.2656,64,51,45,26,14,2
266,deplete,1,0.1095,0.27435,65,56,55,56,62,1
267,control,1,0.1068,0.2616,39,34,26,32,25,1
267,deplete,1,0.1045,0.2762,47,70,51,55,67,2
27,control,1,0.12995,0.31355,34,43,17,16,22,1
27,deplete,1,0.1424,0.2011,29,53,38,40,52,2
270,control,1,0.12435,0.2779,25,10,10,10,11,2
270,deplete,1,0.11265,0.30205,70,47,47,58,54,1
271,control,1,0.1154,0.34685,42,12,19,43,30,1
271,deplete,1,0.1051,0.3064,44,45,34,39,49,2
273,control,1,0.1091,0.2757,57,14,10,10,10,1
273,deplete,1,0.12835,0.315,70,52,57,14,65,2
275,control,1,0.11625,0.2371,11,10,10,10,11,1
275,deplete,1,0.11175,0.2646,20,45,50,70,53,2
277,control,1,0.1497,0.3119,40,30,10,10,34,1
277,deplete,1,0.12155,0.2789,44,44,45,36,51,2
278,control,1,0.1237,0.16335,27,39,17,18,48,2
278,deplete,1,0.10675,0.13285,49,14,52,70,54,1
28,control,1,0.1666,0.24525,64,40,20,53,21,2
283,control,1,0.14415,0.2764,31,22,35,25,22,1
283,deplete,1,0.1394,0.3625,67,61,55,42,52,2
284,control,1,0.109,0.32585,19,16,11,13,16,2
284,deplete,1,0.1234,0.251,30,42,42,43,46,1
285,control,1,0.11915,0.25535,13,15,10,21,13,1
285,deplete,1,0.14335,0.24265,39,59,41,41,50,2
286,control,1,0.1374,0.2389,27,38,17,30,44,2
286,deplete,1,0.11295,0.2374,70,47,22,56,47,1
287,control,1,0.13135,0.2472,30,46,17,14,43,1
287,deplete,1,0.1521,0.2655,44,61,63,46,61,2
289,control,1,0.135,0.2975,58,44,42,12,49,1
289,deplete,1,0.1305,0.2685,43,63,55,51,63,2
290,control,1,0.11015,0.2835,41,32,33,35,31,2
290,deplete,1,0.09915,0.23675,38,36,43,42,49,1
291,control,1,0.1599,0.22825,50,14,10,11,11,1
291,deplete,1,0.1264,0.27225,37,64,53,58,70,2
292,control,1,0.1034,0.31785,55,16,13,22,16,2
292,deplete,1,0.12165,0.3307,63,51,56,60,55,1
293,control,1,0.09815,0.30295,62,45,29,50,56,1
293,deplete,1,0.11635,0.3003,70,60,70,65,70,2
295,control,1,0.14995,0.2377,51,47,34,58,46,1
295,deplete,1,0.1155,0.2336,67,51,60,70,53,2
296,control,1,0.13605,0.34375,55,18,12,19,20,2
296,deplete,1,0.12745,0.29235,27,54,23,26,58,1
298,control,1,0.1542,0.1945,15,10,11,12,11,2
298,deplete,1,0.13755,0.26185,23,44,58,45,62,1
299,control,1,0.14745,0.2211,39,42,22,21,30,1
299,deplete,1,0.1278,0.2417,51,42,45,41,45,2
30,control,1,0.10675,0.3139,10,10,10,10,10,2
301,control,1,0.10745,0.2702,51,60,40,21,59,1
301,deplete,1,0.10445,0.30555,26,52,29,33,61,2
302,control,1,0.10095,0.26145,55,23,28,46,28,2
302,deplete,1,0.1075,0.22335,54,54,62,49,63,1
303,control,1,0.15095,0.2694,24,11,11,37,12,1
303,deplete,1,0.1118,0.3112,10,41,70,57,42,2
304,control,1,0.1455,0.2998,51,10,10,10,10,2
304,deplete,1,0.12745,0.2559,64,49,40,15,57,1
306,control,1,0.0918,0.3054,17,13,14,15,18,2
306,deplete,1,0.1001,0.24915,57,52,48,60,45,1
307,control,1,0.1042,0.3302,60,18,19,29,13,1
307,deplete,1,0.1051,0.32965,24,61,49,33,49,2
308,control,1,0.118,0.3089,68,55,14,25,27,2
308,deplete,1,0.10725,0.3503,70,70,70,46,70,1
309,control,1,0.10725,0.32595,21,10,10,10,11,1
309,deplete,1,0.1235,0.32385,19,61,32,32,52,2
310,control,1,0.10205,0.21105,27,13,10,12,13,2
310,deplete,1,0.10285,0.1771,70,45,63,70,49,1
312,control,1,0.13425,0.2418,20,33,38,10,27,2
312,deplete,1,0.13355,0.1754,26,50,70,47,49,1
313,control,1,0.13765,0.2471,38,44,21,10,34,1
313,deplete,1,0.1376,0.30965,57,49,56,28,49,2
314,control,1,0.1089,0.30925,63,39,43,10,27,2
314,deplete,1,0.12265,0.2804,70,66,70,67,70,1
315,control,1,0.16695,0.2349,70,45,58,60,24,1
315,deplete,1,0.1526,0.2528,70,55,61,70,15,2
316,control,1,0.12335,0.35625,56,42,29,50,51,2
316,deplete,1,0.1362,0.35035,10,54,29,23,47,1
317,control,1,0.1212,0.2685,50,20,29,35,31,1
317,deplete,1,0.11935,0.36205,43,43,39,44,44,2
318,control,1,0.12455,0.27005,23,17,11,18,18,2
318,deplete,1,0.12235,0.1932,46,53,53,30,44,1
319,control,1,0.12095,0.2453,28,51,40,39,46,1
319,deplete,1,0.1021,0.2777,39,59,53,52,49,2
32,control,1,0.0965,0.18495,59,48,11,10,20,2
323,control,1,0.12545,0.3941,39,41,30,38,40,1
323,deplete,1,0.1234,0.40675,42,41,39,65,41,2
324,control,1,0.09755,0.28805,13,17,13,12,13,2
324,deplete,1,0.12035,0.35955,66,49,48,53,51,1
325,control,1,0.13115,0.2521,13,16,12,11,37,1
325,deplete,1,0.1112,0.30415,62,39,44,61,56,2
326,control,1,0.09715,0.31315,27,10,10,10,10,2
326,deplete,1,0.10585,0.3236,49,41,27,39,38,1
327,control,1,0.11815,0.25205,52,20,30,33,23,1
327,deplete,1,0.13485,0.25635,51,48,45,51,57,2
329,control,1,0.1036,0.24315,24,42,37,32,44,1
329,deplete,1,0.0938,0.3029,46,53,58,42,55,2
33,control,1,0.1079,0.2036,62,20,25,38,24,1
33,deplete,1,0.0908,0.2868,10,54,29,56,67,2
330,control,1,0.11295,0.2991,14,12,11,18,18,2
330,deplete,1,0.1164,0.2404,15,47,24,45,67,1
331,control,1,0.1334,0.19285,70,18,70,11,10,1
331,deplete,1,0.1296,0.2406,70,17,43,48,13,2
332,control,1,0.09815,0.34425,16,13,15,12,12,2
332,deplete,1,0.1366,0.33785,60,30,46,61,33,1
334,control,1,0.13205,0.2543,43,19,20,16,36,2
334,deplete,1,0.12625,0.25395,44,55,44,63,47,1
335,control,1,0.12635,0.26855,10,10,10,10,17,1
335,deplete,1,0.11325,0.27855,54,37,41,26,43,2
336,control,1,0.13105,0.3269,52,11,11,11,11,2
336,deplete,1,0.14465,0.2318,46,31,25,10,14,1
337,control,1,0.1443,0.28325,27,44,16,20,29,1
337,deplete,1,0.1233,0.35135,24,58,31,49,56,2
338,control,1,0.10015,0.28865,68,65,35,29,51,2
338,deplete,1,0.1133,0.33865,46,33,70,61,50,1
339,control,1,0.08525,0.33365,66,26,13,12,28,1
339,deplete,1,0.08415,0.34405,70,53,47,45,59,2
34,control,1,0.1045,0.25135,42,41,36,40,49,2
340,control,1,0.10945,0.30845,19,21,19,16,21,2
340,deplete,1,0.09735,0.2919,42,55,45,49,50,1
342,control,1,0.09735,0.33635,60,21,41,39,25,2
342,deplete,1,0.1018,0.34275,49,49,52,18,52,1
343,control,1,0.0925,0.30075,47,40,13,20,46,1
343,deplete,1,0.09015,0.2006,70,65,70,64,70,2
344,control,1,0.1332,0.19165,38,12,19,14,10,2
344,deplete,1,0.1341,0.228,31,52,70,70,53,1
345,control,1,0.09,0.3753,21,27,21,10,24,1
345,deplete,1,0.07765,0.3076,56,67,52,57,64,2
348,control,1,0.1118,0.259,44,24,24,47,24,2
348,deplete,1,0.1132,0.2568,53,62,53,48,51,1
349,control,1,0.09465,0.2376,65,19,26,17,28,1
349,deplete,1,0.08415,0.2492,70,22,55,61,30,2
35,control,1,0.11135,0.2105,42,12,16,11,39,1
35,deplete,1,0.1433,0.22835,17,60,43,10,65,2
350,control,1,0.11945,0.33725,35,13,23,13,30,2
350,deplete,1,0.1225,0.26425,22,59,23,48,43,1
351,control,1,0.11425,0.262,21,15,15,12,21,1
351,deplete,1,0.1094,0.27925,54,68,59,67,65,2
352,control,1,0.13515,0.3089,35,12,11,10,12,2
352,deplete,1,0.1248,0.31135,39,41,34,20,42,1
353,control,1,0.13615,0.2726,64,23,20,11,17,1
353,deplete,1,0.1184,0.3073,70,57,60,70,70,2
354,control,1,0.13355,0.23265,57,17,15,15,17,2
354,deplete,1,0.11945,0.2836,26,70,67,66,64,1
355,control,1,0.1084,0.2844,58,42,10,21,54,1
355,deplete,1,0.1118,0.29325,10,53,60,47,70,2
357,control,1,0.16655,0.2315,70,44,17,70,60,1
