pNo,condition,study,a,v,bored,effort,fatigue,frustrate,mentaldemand,session
CETBXSJRRBHAE2&(,deplete,3,0.1196,0.3916,27,50,53,65,56,1
Z@0WOX$Z^LUAE2&(,control,3,0.12265,0.26715,21,24,19,12,25,2
Z@0WOX$Z^LUAE2&(,deplete,3,0.1022,0.3069,13,62,54,58,66,1
HW4GC!UJQTZAE2&(,control,3,0.1376,0.3095,49,10,16,36,12,1
HW4GC!UJQTZAE2&(,deplete,3,0.1548,0.30585,27,70,44,48,48,2
ERCKSJC21EHR2&(,control,3,0.13165,0.3056,53,21,18,14,35,1
ERCKSJC21EHR2&(,deplete,3,0.1322,0.28585,10,70,10,10,10,2
H8X@!BYGSS7S2&(,control,3,0.13555,0.1781,15,19,19,16,15,1
H8X@!BYGSS7S2&(,deplete,3,0.1226,0.18885,59,59,58,57,59,2
91X2JIH8^CRS2&(,control,3,0.1164,0.3982,50,20,10,10,12,1
91X2JIH8^CRS2&(,deplete,3,0.1254,0.37435,10,47,49,22,63,2
5O1AE45X5MQWS2&(,control,3,0.1241,0.32435,11,16,11,14,17,2
5O1AE45X5MQWS2&(,deplete,3,0.0931,0.33255,32,60,60,50,59,1
BT5M!!UFT@$U2&(,control,3,0.10495,0.19825,68,38,14,14,16,2
BT5M!!UFT@$U2&(,deplete,3,0.1134,0.19445,67,64,61,56,62,1
LE8WBAE7&(@@EU2&(,control,3,0.1396,0.23075,16,20,15,22,20,1
LE8WBAE7&(@@EU2&(,deplete,3,0.12525,0.293,56,33,25,26,50,2
&(ZTW#YQ@@@EU2&(,control,3,0.10025,0.21605,13,62,48,60,27,1
&(ZTW#YQ@@@EU2&(,deplete,3,0.10515,0.2487,29,70,54,67,68,2
WLAEAE!&(HF89QU2&(,control,3,0.10505,0.28265,67,15,18,10,18,2
WLAEAE!&(HF89QU2&(,deplete,3,0.095,0.25555,63,58,55,54,61,1
G#8TK&(25G2W@2&(,control,3,0.114,0.3401,55,13,18,17,15,2
G#8TK&(25G2W@2&(,deplete,3,0.10065,0.33,58,55,51,10,58,1
T0L&(LTW&(5ZY@2&(,control,3,0.1062,0.30665,29,30,23,12,33,1
T0L&(LTW&(5ZY@2&(,deplete,3,0.10335,0.32895,28,47,35,22,57,2
7^#B$GBG2I^W2&(,control,3,0.12375,0.2989,61,11,12,12,14,2
7^#B$GBG2I^W2&(,deplete,3,0.10965,0.3031,21,70,69,66,70,1
T12EQFX!OZ#W2&(,control,3,0.15255,0.1645,51,18,12,15,17,2
T12EQFX!OZ#W2&(,deplete,3,0.0919,0.14405,23,51,34,48,50,1
B!QU!W#80CHW2&(,control,3,0.18725,0.2535,25,18,11,14,17,1
B!QU!W#80CHW2&(,deplete,3,0.1623,0.2259,57,69,57,55,49,2
EIRZ4Z^2ZLMW2&(,control,3,0.11465,0.4078,55,10,11,10,10,2
EIRZ4Z^2ZLMW2&(,deplete,3,0.11025,0.39775,69,70,63,70,68,1
GBR72R7B2KTX2&(,control,3,0.0923,0.36935,43,14,24,14,15,1
GBR72R7B2KTX2&(,deplete,3,0.08125,0.3149,68,70,23,69,70,2
WIT#MX0J947Y2&(,control,3,0.1175,0.2584,52,20,20,17,31,1
WIT#MX0J947Y2&(,deplete,3,0.1096,0.29545,38,62,30,25,60,2
BHG42F0Z!Z9Y2&(,control,3,0.123,0.24815,31,17,15,17,21,1
BHG42F0Z!Z9Y2&(,deplete,3,0.0985,0.26055,27,63,68,37,70,2
@7&(MJ144E&(QY2&(,control,3,0.13955,0.31435,70,19,10,10,10,2
@7&(MJ144E&(QY2&(,deplete,3,0.146,0.28105,36,44,10,10,46,1
0GE0ZW0&(T^4Z2&(,control,3,0.1522,0.20495,32,17,14,12,16,1
0GE0ZW0&(T^4Z2&(,deplete,3,0.14385,0.19035,34,68,69,68,70,2
7@AE$4EJYKCUZ2&(,control,3,0.1038,0.01985,29,31,23,31,50,2
7@AE$4EJYKCUZ2&(,deplete,3,0.09025,0.2633,64,53,47,29,50,1
WI&(IFF@E&(AEG0^&(,control,3,0.12065,0.2579,44,11,39,48,17,1
WI&(IFF@E&(AEG0^&(,deplete,3,0.1127,0.23075,58,70,60,44,67,2
G0F#S9G789W0^&(,control,3,0.17495,0.2277,10,10,10,10,11,1
G0F#S9G789W0^&(,deplete,3,0.1291,0.29205,18,48,52,29,53,2
XZO@G4^H&(U#4^&(,control,3,0.10385,0.4557,11,25,11,29,17,2
XZO@G4^H&(U#4^&(,deplete,3,0.09725,0.4139,10,70,70,20,70,1
!1L$BU@C0R$4^&(,control,3,0.1034,0.36425,11,15,11,37,17,2
!1L$BU@C0R$4^&(,deplete,3,0.1194,0.3949,10,70,70,56,70,1
BMAE&(5QZ5REU4^&(,control,3,0.12705,0.1893,26,12,11,12,12,2
BMAE&(5QZ5REU4^&(,deplete,3,0.1089,0.24095,70,70,50,70,46,1
C!01XUT$KX^5^&(,control,3,0.1676,0.19675,49,10,10,10,10,1
C!01XUT$KX^5^&(,deplete,3,0.1461,0.244,52,47,31,46,43,2
YI5T&(S70ROU5^&(,control,3,0.15175,0.2893,36,25,15,46,54,1
YI5T&(S70ROU5^&(,deplete,3,0.1306,0.25525,58,57,45,55,59,2
&(CCJ2RW$G90#^&(,control,3,0.10815,0.373,10,21,10,10,30,2
&(CCJ2RW$G90#^&(,deplete,3,0.09785,0.3182,17,70,52,62,70,1
B!4FJUKX4SO#^&(,control,3,0.1227,0.22245,16,13,14,10,18,2
B!4FJUKX4SO#^&(,deplete,3,0.1244,0.21805,57,48,26,15,60,1
MK2T&(5XLYTO#^&(,control,3,0.13385,0.29105,10,10,10,10,10,2
MK2T&(5XLYTO#^&(,deplete,3,0.10615,0.23115,29,66,25,26,57,1
W9UKKYFBMQ57^&(,control,3,0.12625,0.2875,17,19,28,16,13,1
W9UKKYFBMQ57^&(,deplete,3,0.1136,0.30925,64,67,64,66,68,2
^02IXOX4SZG7^&(,control,3,0.11835,0.37335,63,15,20,10,10,1
^02IXOX4SZG7^&(,deplete,3,0.0965,0.3277,10,65,70,29,60,2
YE0KKWM#7@H8^&(,control,3,0.12015,0.28125,16,13,11,12,21,1
YE0KKWM#7@H8^&(,deplete,3,0.14085,0.24515,43,46,25,43,43,2
HGERWWYTUYH8^&(,control,3,0.09775,0.2594,11,59,47,60,59,1
HGERWWYTUYH8^&(,deplete,3,0.12215,0.30995,42,64,61,62,57,2
T#F5AE^ZB@EL8^&(,control,3,0.1028,0.3294,27,17,13,14,15,2
T#F5AE^ZB@EL8^&(,deplete,3,0.1322,0.35515,29,66,60,47,62,1
C@MLR8KI$&(G9^&(,control,3,0.1111,0.2844,65,17,14,18,25,1
C@MLR8KI$&(G9^&(,deplete,3,0.1477,0.10905,67,47,17,24,18,2
TKRRW$05WOR9^&(,control,3,0.1282,0.2819,17,10,10,10,10,1
TKRRW$05WOR9^&(,deplete,3,0.105,0.2807,21,65,67,46,67,2
0@1H@XW8OMAE&(^&(,control,3,0.1185,0.2174,27,16,18,12,18,1
0@1H@XW8OMAE&(^&(,deplete,3,0.1404,0.2843,30,49,49,35,50,2
RGGCTKWC^FGC^&(,control,3,0.12305,0.32365,16,10,12,11,11,2
RGGCTKWC^FGC^&(,deplete,3,0.1209,0.32475,39,40,37,23,48,1
8$7Y$OSIWXTC^&(,control,3,0.1172,0.3752,44,30,24,18,51,1
8$7Y$OSIWXTC^&(,deplete,3,0.11495,0.3259,13,46,51,46,63,2
LRS5^EKTT!9$^&(,control,3,0.1423,0.23025,24,29,12,32,49,1
LRS5^EKTT!9$^&(,deplete,3,0.11035,0.1832,44,48,55,59,63,2
G1YQ5K&($T0CF^&(,control,3,0.1095,0.2628,30,30,22,25,19,1
G1YQ5K&($T0CF^&(,deplete,3,0.0827,0.12355,27,51,54,58,49,2
FB&(CSBKXJMCF^&(,control,3,0.09865,0.3252,24,25,10,14,17,2
FB&(CSBKXJMCF^&(,deplete,3,0.1098,0.31915,24,56,17,52,56,1
Q4^J@T5952^H^&(,control,3,0.10465,0.3241,12,11,11,24,15,2
Q4^J@T5952^H^&(,deplete,3,0.10115,0.3615,51,63,52,70,47,1
2OAEU5AEHX^1FI^&(,control,3,0.08545,0.2999,23,16,19,10,25,1
2OAEU5AEHX^1FI^&(,deplete,3,0.0989,0.3315,21,70,45,30,60,2
5FJMMOS8$!WI^&(,control,3,0.09925,0.3798,21,15,19,61,31,1
5FJMMOS8$!WI^&(,deplete,3,0.12115,0.29895,57,70,63,48,67,2
FJOL@YR0RBIK^&(,control,3,0.11465,0.32165,13,15,13,14,16,2
FJOL@YR0RBIK^&(,deplete,3,0.1151,0.25635,10,70,67,69,68,1
4!&(X^E7O0#@L^&(,control,3,0.0886,0.295,22,11,46,43,20,2
4!&(X^E7O0#@L^&(,deplete,3,0.1026,0.24,32,51,63,69,50,1
JCZCC82$5C0M^&(,control,3,0.11955,0.35975,36,33,14,46,23,1
JCZCC82$5C0M^&(,deplete,3,0.1262,0.29455,13,63,60,63,70,2
47UME1J4JAEMM^&(,control,3,0.14185,0.26455,24,19,15,23,43,2
47UME1J4JAEMM^&(,deplete,3,0.1407,0.28745,14,59,52,45,61,1
XH7!O$Z7TOYM^&(,control,3,0.15685,0.21105,20,32,18,32,32,1
XH7!O$Z7TOYM^&(,deplete,3,0.099,0.169,42,50,61,45,64,2
2QF7XH@BYAEYM^&(,control,3,0.15,0.29205,10,12,11,11,24,1
2QF7XH@BYAEYM^&(,deplete,3,0.12725,0.3086,49,69,70,70,70,2
7TXI2@4QZQ0O^&(,control,3,0.14555,0.3495,27,60,52,61,53,1
7TXI2@4QZQ0O^&(,deplete,3,0.13505,0.3489,27,59,58,57,58,2
1KHGC5GER#BO^&(,control,3,0.11765,0.3458,28,36,16,11,27,2
1KHGC5GER#BO^&(,deplete,3,0.1037,0.3021,41,54,39,32,49,1
AEM7$T7QG&(X0Q^&(,control,3,0.1138,0.38985,66,11,16,12,12,1
AEM7$T7QG&(X0Q^&(,deplete,3,0.1112,0.3678,29,56,27,30,55,2
WHH#L8QI^XCR^&(,control,3,0.1097,0.30365,18,14,13,10,13,1
WHH#L8QI^XCR^&(,deplete,3,0.10015,0.3363,36,48,40,47,55,2
EBKBE7#&(T0FT^&(,control,3,0.12305,0.2361,59,33,27,23,46,1
EBKBE7#&(T0FT^&(,deplete,3,0.1314,0.2369,70,33,48,52,32,2
YGZ9AES@UOCUT^&(,control,3,0.18335,0.1715,10,14,10,10,18,1
YGZ9AES@UOCUT^&(,deplete,3,0.19015,0.16255,43,68,54,10,63,2
MXS1I$!K&(M4W^&(,control,3,0.10645,0.32115,11,14,11,24,20,2
MXS1I$!K&(M4W^&(,deplete,3,0.1196,0.13575,50,50,10,12,65,1
1YK^UW18S!H4&(,control,3,0.1262,0.29215,57,23,17,17,28,1
1YK^UW18S!H4&(,deplete,3,0.1111,0.34945,52,59,48,49,57,2
50IZEOSEXIU4&(,control,3,0.1108,0.385,43,21,17,21,23,2
50IZEOSEXIU4&(,deplete,3,0.1416,0.2558,70,56,70,70,70,1
EYR2E1LF7SK5&(,control,3,0.11155,0.31805,47,16,39,31,24,2
EYR2E1LF7SK5&(,deplete,3,0.1167,0.3726,33,46,43,47,51,1
LAEGMK0UE7JE#&(,control,3,0.14995,0.3134,19,12,11,10,12,2
LAEGMK0UE7JE#&(,deplete,3,0.1253,0.2949,70,56,65,10,60,1
IKYZO02E2EO8&(,control,3,0.10005,0.31475,70,43,54,44,46,2
IKYZO02E2EO8&(,deplete,3,0.11015,0.28795,70,54,20,61,61,1
O@G&(2F0E^QH9&(,control,3,0.1076,0.237,58,38,18,46,15,2
O@G&(2F0E^QH9&(,deplete,3,0.1067,0.3058,53,70,65,70,70,1
4G7WE&(@&(1Q1&(&(,control,3,0.1254,0.24185,31,25,31,22,24,2
4G7WE&(@&(1Q1&(&(,deplete,3,0.1062,0.3853,59,63,70,54,70,1
Y!^C4UILKK4&(&(,control,3,0.1974,0.09255,16,18,16,15,28,1
Y!^C4UILKK4&(&(,deplete,3,0.13105,0.26645,15,64,54,20,65,2
WF^E#^2W2O4&(&(,control,3,0.127,0.3404,32,35,38,39,43,1
WF^E#^2W2O4&(&(,deplete,3,0.1322,0.33445,39,53,54,54,60,2
QBCAEIL4LCZH&(&(,control,3,0.1084,0.2307,11,11,10,10,10,1
QBCAEIL4LCZH&(&(,deplete,3,0.1111,0.17525,10,70,10,10,10,2
7@O^1KOZERQ&(&(,control,3,0.0861,0.2698,45,11,10,10,15,2
7@O^1KOZERQ&(&(,deplete,3,0.0807,0.2684,20,53,14,19,63,1
5WJ@K549AE&(8C&(,control,3,0.12905,0.2864,21,22,19,15,33,2
5WJ@K549AE&(8C&(,deplete,3,0.11345,0.28285,43,56,42,41,42,1
$ET$YAEH9C0!C&(,control,3,0.11905,0.16875,22,50,24,11,21,2
$ET$YAEH9C0!C&(,deplete,3,0.1606,0.17515,64,70,49,53,67,1
!J&(UH2#QU#8$&(,control,3,0.1274,0.3326,13,16,14,15,19,2
!J&(UH2#QU#8$&(,deplete,3,0.14705,0.28955,11,63,49,21,52,1
FZ8#AEUW80HG$&(,control,3,0.13905,0.1735,24,38,26,32,40,2
FZ8#AEUW80HG$&(,deplete,3,0.13955,0.27375,22,70,66,23,58,1
$2W9YZAELGAEW$&(,control,3,0.121,0.22235,48,14,16,20,22,1
$2W9YZAELGAEW$&(,deplete,3,0.1399,0.2641,59,46,48,42,35,2
4RLUQWAEOXJ$E&(,control,3,0.13335,0.29895,40,11,10,10,12,2
4RLUQWAEOXJ$E&(,deplete,3,0.1303,0.25425,25,55,43,43,59,1
0M08AE4$O5QFE&(,control,3,0.14255,0.24495,17,56,37,50,54,2
0M08AE4$O5QFE&(,deplete,3,0.1512,0.2826,32,41,36,34,53,1
KMG$TRAEF@IIE&(,control,3,0.10995,0.3154,12,11,12,12,12,1
KMG$TRAEF@IIE&(,deplete,3,0.117,0.3433,32,43,49,42,50,2
LX#2UO10H7!E&(,control,3,0.1279,0.24165,68,57,38,13,58,1
LX#2UO10H7!E&(,deplete,3,0.15025,0.2296,23,31,48,48,46,2
9ZCXEJE12S2G&(,control,3,0.1094,0.21765,22,60,16,22,26,1
9ZCXEJE12S2G&(,deplete,3,0.10615,0.33515,28,63,58,46,58,2
RZ#BH!U9RLHG&(,control,3,0.1439,0.30095,28,11,11,15,21,1
RZ#BH!U9RLHG&(,deplete,3,0.1256,0.2649,26,60,53,55,59,2
@CTJZ12TETFH&(,control,3,0.1115,0.2058,51,14,10,24,14,1
@CTJZ12TETFH&(,deplete,3,0.13985,0.2864,22,48,41,28,70,2
9#JYG$O77YJH&(,control,3,0.12435,0.33435,63,57,60,54,19,2
9#JYG$O77YJH&(,deplete,3,0.1367,0.31935,24,70,26,58,70,1
BGAETCQ8YLM!H&(,control,3,0.10255,0.33645,23,24,22,27,60,2
BGAETCQ8YLM!H&(,deplete,3,0.14525,0.3266,43,61,44,48,51,1
1EO4HLSI&(QRH&(,control,3,0.11215,0.2998,40,10,10,25,10,1
1EO4HLSI&(QRH&(,deplete,3,0.10415,0.3256,70,59,52,48,66,2
ZYB5CF5&(XC&(J&(,control,3,0.163,0.29295,30,16,15,17,17,2
ZYB5CF5&(XC&(J&(,deplete,3,0.12425,0.25465,30,60,49,27,65,1
Q$J70@4^^4MJ&(,control,3,0.1006,0.30115,11,12,11,11,13,2
Q$J70@4^^4MJ&(,deplete,3,0.12525,0.27085,31,51,46,20,63,1
GJK8ZU1&(E77K&(,control,3,0.0896,0.2638,30,50,54,49,56,1
GJK8ZU1&(E77K&(,deplete,3,0.0887,0.19375,55,63,53,63,54,2
0#ZJE9GR21L&(,control,3,0.13345,0.28625,18,26,26,10,30,1
0#ZJE9GR21L&(,deplete,3,0.1175,0.40365,56,68,64,51,69,2
Z8SZKYCSSMTL&(,control,3,0.13495,0.1388,57,28,19,16,26,1
Z8SZKYCSSMTL&(,deplete,3,0.13545,0.24095,32,54,49,46,61,2
TS4TL!ZU^95!&(,control,3,0.12415,0.24015,17,43,44,30,50,1
TS4TL!ZU^95!&(,deplete,3,0.115,0.2897,33,65,56,46,67,2
BS^Z0BU^RX!&(,control,3,0.1264,0.37275,46,24,21,43,21,2
BS^Z0BU^RX!&(,deplete,3,0.1106,0.30795,52,67,53,65,65,1
9XZK9LG4H^^O&(,control,3,0.08805,0.2755,51,10,45,47,10,2
9XZK9LG4H^^O&(,deplete,3,0.0737,0.28895,70,70,70,70,70,1
&(B!CH7X^094AE&(,control,3,0.126,0.24885,28,58,51,50,50,2
&(B!CH7X^094AE&(,deplete,3,0.09485,0.18935,39,52,44,43,47,1
^IUS$7G9$B7AE&(,control,3,0.10275,0.4533,61,19,13,13,17,1
^IUS$7G9$B7AE&(,deplete,3,0.1332,0.38095,20,60,64,55,58,2
9@HR95Y1&($$AE&(,control,3,0.13955,0.22395,13,14,11,12,21,2
9@HR95Y1&($$AE&(,deplete,3,0.1097,0.2842,26,62,49,31,62,1
CZ27O8$W#Y9Q&(,control,3,0.1056,0.34205,56,30,23,27,31,2
CZ27O8$W#Y9Q&(,deplete,3,0.1147,0.32725,21,62,65,62,61,1
Q@0W1G7MFX4R&(,control,3,0.1901,0.2679,17,15,12,16,15,2
Q@0W1G7MFX4R&(,deplete,3,0.1782,0.21565,48,63,65,42,60,1
L22ICM1T0@ZR&(,control,3,0.1344,0.2343,50,20,39,26,21,1
L22ICM1T0@ZR&(,deplete,3,0.09575,0.26945,56,58,41,45,57,2
Q&(K^JI^^Y&(KS&(,control,3,0.15895,0.2963,14,17,11,16,17,1
Q&(K^JI^^Y&(KS&(,deplete,3,0.13315,0.2979,39,28,34,11,10,2
IY8AE4M7&(OUKW&(,control,3,0.12215,0.3483,13,36,11,15,51,1
IY8AE4M7&(OUKW&(,deplete,3,0.11265,0.33015,45,52,33,16,70,2
8WG$ZFC@94TX&(,control,3,0.1457,0.2647,68,64,19,40,12,1
8WG$ZFC@94TX&(,deplete,3,0.14405,0.3264,10,70,70,70,70,2
K42KAEM88ETUY&(,control,3,0.0961,0.28615,59,18,64,13,45,1
K42KAEM88ETUY&(,deplete,3,0.1049,0.265,10,65,49,44,60,2
BJFJZX!FWWY&(,control,3,0.12815,0.04105,46,11,15,24,11,1
BJFJZX!FWWY&(,deplete,3,0.1222,0.27885,48,20,23,25,32,2
AE&(9JQX4SMBYY&(,control,3,0.13555,0.27595,21,11,11,10,11,2
AE&(9JQX4SMBYY&(,deplete,3,0.1057,0.318,18,69,53,13,69,1
5MI7CAEUBQEYY&(,control,3,0.11755,0.2917,11,17,11,12,18,1
5MI7CAEUBQEYY&(,deplete,3,0.11895,0.2953,35,43,44,43,44,2
L$X0Q&(CUYZ5Z&(,control,3,0.14365,0.3018,48,20,18,17,17,1
L$X0Q&(CUYZ5Z&(,deplete,3,0.13225,0.3019,38,48,47,38,54,2
J0JIRS8OSFK21&(,control,4,0.1161,0.2146,14,14,12,11,12,2
J0JIRS8OSFK21&(,deplete,4,0.147,0.09265,52,55,47,30,57,1
TFOS4CY42M@^1&(,control,4,0.1408,0.33995,51,12,12,10,21,1
TFOS4CY42M@^1&(,deplete,4,0.13105,0.39085,41,48,46,45,56,2
C1C^&(@@9AE1#51&(,control,4,0.10725,0.3092,44,18,11,11,13,2
C1C^&(@@9AE1#51&(,deplete,4,0.11045,0.26235,58,70,70,66,70,1
Y5XK8K!$X0E#1&(,control,4,0.1102,0.1909,38,30,41,27,25,1
Y5XK8K!$X0E#1&(,deplete,4,0.0967,0.26845,53,55,57,46,62,2
F$8Q#BQY0UQ81&(,control,4,0.1526,0.23065,12,14,12,14,19,1
F$8Q#BQY0UQ81&(,deplete,4,0.137,0.2955,30,15,17,23,21,2
$WSMWMT2K#@81&(,control,4,0.10275,0.3131,11,11,11,11,11,2
$WSMWMT2K#@81&(,deplete,4,0.1506,0.2127,70,59,68,47,66,1
Z1X&(^7H!S8L91&(,control,4,0.14715,0.30285,39,25,24,26,26,1
Z1X&(^7H!S8L91&(,deplete,4,0.13175,0.3887,57,66,23,34,62,2
8B7S4^2L4FQ&(1&(,control,4,0.15535,0.28075,55,13,12,12,13,1
8B7S4^2L4FQ&(1&(,deplete,4,0.136,0.31325,70,70,70,70,70,2
G0C44@&(41H9B1&(,control,4,0.1531,0.3105,18,13,12,11,20,1
G0C44@&(41H9B1&(,deplete,4,0.14105,0.33545,10,70,56,50,70,2
0J!7GO2JFE&(B1&(,control,4,0.15885,0.2398,21,18,10,10,11,1
0J!7GO2JFE&(B1&(,deplete,4,0.1195,0.2765,55,70,70,59,70,2
&(L7T#1QX5RHB1&(,control,4,0.13125,0.2662,16,10,11,10,11,1
&(L7T#1QX5RHB1&(,deplete,4,0.11785,0.28195,10,54,10,10,62,2
T!QRUTMBXJRB1&(,control,4,0.1273,0.2678,17,30,19,15,20,2
T!QRUTMBXJRB1&(,deplete,4,0.19355,0.2009,27,47,48,31,58,1
UE7CI$AEOM$GC1&(,control,4,0.11465,0.3105,47,22,14,16,17,2
UE7CI$AEOM$GC1&(,deplete,4,0.12335,0.27735,33,70,70,57,70,1
#B$G9RAEE44U$1&(,control,4,0.1589,0.2396,25,11,11,11,11,1
#B$G9RAEE44U$1&(,deplete,4,0.1297,0.2842,48,70,70,18,69,2
&(U^QIEEHL1QE1&(,control,4,0.10285,0.30745,26,19,17,14,20,2
&(U^QIEEHL1QE1&(,deplete,4,0.11445,0.342,52,46,45,22,36,1
RSL11RJAEIB1F1&(,control,4,0.14475,0.35135,40,26,16,14,23,2
RSL11RJAEIB1F1&(,deplete,4,0.17185,0.2836,63,63,61,59,61,1
AERH!!1G!^$KG1&(,control,4,0.15435,0.30745,32,25,34,19,19,2
AERH!!1G!^$KG1&(,deplete,4,0.2764,0.12225,46,62,49,39,54,1
U$H27WHBIAERG1&(,control,4,0.1312,0.24695,48,10,12,15,11,1
U$H27WHBIAERG1&(,deplete,4,0.1202,0.36525,24,59,70,58,67,2
IBXKRZ8B#8JI1&(,control,4,0.1259,0.28555,60,54,65,28,26,1
IBXKRZ8B#8JI1&(,deplete,4,0.10295,0.26705,10,70,57,56,70,2
WF1TXUHJS0GJ1&(,control,4,0.14265,0.27945,30,10,10,10,15,2
WF1TXUHJS0GJ1&(,deplete,4,0.11695,0.23205,21,61,24,30,59,1
9J$CU9L5BT2K1&(,control,4,0.15095,0.3373,48,20,17,26,14,2
9J$CU9L5BT2K1&(,deplete,4,0.1221,0.38985,59,48,46,42,45,1
ZO98&(R2R91GL1&(,control,4,0.10105,0.36695,70,24,22,47,21,1
ZO98&(R2R91GL1&(,deplete,4,0.08535,0.3756,31,63,58,10,70,2
AEJ#KRYFB4F1M1&(,control,4,0.1227,0.3044,63,12,12,22,15,1
AEJ#KRYFB4F1M1&(,deplete,4,0.1059,0.2866,16,70,60,65,70,2
TO9J!Z^X#CMM1&(,control,4,0.1342,0.32045,61,29,16,23,19,2
TO9J!Z^X#CMM1&(,deplete,4,0.14485,0.2841,70,39,27,42,45,1
QKKL2W7JYUJAE1&(,control,4,0.12525,0.2467,14,19,10,12,15,2
QKKL2W7JYUJAE1&(,deplete,4,0.1468,0.2499,67,66,39,68,66,1
ZH#T2URXBR8R1&(,control,4,0.11335,0.30545,39,13,11,13,17,2
ZH#T2URXBR8R1&(,deplete,4,0.14795,0.3029,48,63,67,31,64,1
SI1HU0&(KWLHS1&(,control,4,0.1399,0.2952,27,19,15,27,16,1
SI1HU0&(KWLHS1&(,deplete,4,0.0962,0.3382,13,65,61,61,62,2
CAEW$C1&(QWF$T1&(,control,4,0.16425,0.18125,56,55,67,36,18,1
CAEW$C1&(QWF$T1&(,deplete,4,0.1299,0.2654,58,70,70,62,70,2
SU7XQ$TB#QLT1&(,control,4,0.12615,0.30015,12,11,11,11,14,1
SU7XQ$TB#QLT1&(,deplete,4,0.1134,0.38115,10,70,63,47,70,2
^2#YAE72$0BCU1&(,control,4,0.14335,0.3294,39,10,10,10,10,2
^2#YAE72$0BCU1&(,deplete,4,0.16395,0.3132,40,70,70,70,70,1
$2YEJHETW^RW1&(,control,4,0.1003,0.38705,48,16,13,23,19,2
$2YEJHETW^RW1&(,deplete,4,0.1236,0.31805,28,60,48,46,58,1
BWGO!E7&(JT&(X1&(,control,4,0.16395,0.248,13,14,12,13,15,1
BWGO!E7&(JT&(X1&(,deplete,4,0.14815,0.3202,10,64,59,50,60,2
1KKMXL@T^UTX1&(,control,4,0.11965,0.28715,35,15,34,24,22,2
1KKMXL@T^UTX1&(,deplete,4,0.1289,0.28975,25,53,48,15,45,1
BR01AE@24B!XX1&(,control,4,0.25915,0.11055,58,21,40,36,22,1
BR01AE@24B!XX1&(,deplete,4,0.118,0.28965,70,53,70,50,70,2
XK$^&(1@^M@R02&(,control,4,0.1511,0.31825,19,44,11,15,28,1
XK$^&(1@^M@R02&(,deplete,4,0.12165,0.3618,14,65,51,49,70,2
Z0CZBUWCES$42&(,control,4,0.10615,0.3286,12,21,16,11,22,2
Z0CZBUWCES$42&(,deplete,4,0.09965,0.32135,26,55,31,10,62,1
GR#44CXAE7HF52&(,control,4,0.1449,0.1992,21,10,10,11,11,1
GR#44CXAE7HF52&(,deplete,4,0.105,0.22735,10,70,48,10,59,2
1!FZUOUAE^MK52&(,control,4,0.1343,0.33425,61,10,10,10,10,1
1!FZUOUAE^MK52&(,deplete,4,0.10475,0.34225,55,70,53,10,70,2
1!TZ&(J04K0!52&(,control,4,0.18575,0.27855,20,10,10,10,10,1
1!TZ&(J04K0!52&(,deplete,4,0.1186,0.37335,55,64,53,51,51,2
C0@4UILFH8#82&(,control,4,0.15215,0.2636,12,12,11,10,13,1
C0@4UILFH8#82&(,deplete,4,0.1431,0.3011,17,46,15,10,58,2
E5IZH@&(X7RC92&(,control,4,0.10425,0.3253,15,10,11,10,11,1
E5IZH@&(X7RC92&(,deplete,4,0.1094,0.2692,53,15,63,21,55,2
Q!R0@!2G8$Y&(2&(,control,4,0.19415,0.1628,15,15,11,16,24,1
Q!R0@!2G8$Y&(2&(,deplete,4,0.1234,0.267,32,49,45,31,50,2
OAEFESYK9&(^FB2&(,control,4,0.1508,0.3385,19,14,21,54,14,2
OAEFESYK9&(^FB2&(,deplete,4,0.16735,0.2757,64,70,70,61,65,1
RE@&(W#GFKZRB2&(,control,4,0.1402,0.30995,60,11,13,20,12,2
RE@&(W#GFKZRB2&(,deplete,4,0.115,0.3036,19,56,54,41,64,1
##IF1B09CBZB2&(,control,4,0.1268,0.3122,23,49,26,23,46,2
##IF1B09CBZB2&(,deplete,4,0.18875,0.2186,13,65,56,53,69,1
1@OL^LITSYOG2&(,control,4,0.12925,0.2942,32,16,22,11,23,1
1@OL^LITSYOG2&(,deplete,4,0.10165,0.354,12,68,58,46,70,2
XRQX02YK!&(0I2&(,control,4,0.1407,0.3714,11,28,11,11,40,1
XRQX02YK!&(0I2&(,deplete,4,0.12645,0.3735,22,69,23,10,57,2
SZHT^9H9B0RK2&(,control,4,0.0929,0.35455,15,12,14,11,21,2
SZHT^9H9B0RK2&(,deplete,4,0.0989,0.3036,17,66,61,49,57,1
GH!@9I8U@RCM2&(,control,4,0.1079,0.32345,10,21,21,21,16,2
GH!@9I8U@RCM2&(,deplete,4,0.12235,0.2748,70,70,70,70,70,1
75HLAEC5&(0!FO2&(,control,4,0.1145,0.2807,11,11,10,10,14,2
75HLAEC5&(0!FO2&(,deplete,4,0.1356,0.2857,70,70,62,59,70,1
$0T&(SI^71@AEO2&(,control,4,0.11435,0.236,32,28,15,13,25,2
$0T&(SI^71@AEO2&(,deplete,4,0.29625,0.0897,43,55,54,60,57,1
L!T^^#41OEQAE2&(,control,4,0.11085,0.33855,18,17,14,29,21,2
L!T^^#41OEQAE2&(,deplete,4,0.122,0.3004,26,56,55,43,55,1
